timestamp,type,key,latency_ms,success,is_stale,version
2025-11-16T16:35:37.145777-08:00,read,key_363,2.98,true,false,2362
2025-11-16T16:35:37.156679-08:00,read,key_361,0.37,true,false,3855
2025-11-16T16:35:37.167739-08:00,read,key_366,0.22,true,false,2169
2025-11-16T16:35:37.178748-08:00,read,key_368,0.38,true,false,2080
2025-11-16T16:35:37.189792-08:00,read,key_368,0.38,true,false,2080
2025-11-16T16:35:37.200814-08:00,read,key_368,0.34,true,false,2080
2025-11-16T16:35:37.211851-08:00,read,key_366,0.28,true,false,2169
2025-11-16T16:35:37.2229-08:00,read,key_366,0.36,true,false,2169
2025-11-16T16:35:37.233923-08:00,read,key_369,0.38,true,false,3941
2025-11-16T16:35:37.244871-08:00,read,key_90,0.47,true,false,4451
2025-11-16T16:35:37.255958-08:00,read,key_682,0.51,true,false,2701
2025-11-16T16:35:37.267073-08:00,read,key_365,0.44,true,false,568
2025-11-16T16:35:37.278261-08:00,read,key_91,0.37,true,false,3618
2025-11-16T16:35:37.289327-08:00,read,key_684,0.56,true,false,2682
2025-11-16T16:35:37.30044-08:00,read,key_91,0.63,true,false,3618
2025-11-16T16:35:37.311585-08:00,read,key_684,0.66,true,false,2682
2025-11-16T16:35:37.322749-08:00,read,key_90,0.77,true,false,4451
2025-11-16T16:35:37.333878-08:00,read,key_438,0.71,true,false,3788
2025-11-16T16:35:37.345047-08:00,read,key_91,0.67,true,false,3618
2025-11-16T16:35:37.35624-08:00,read,key_430,0.80,true,false,3539
2025-11-16T16:35:37.367302-08:00,read,key_228,0.51,true,false,3791
2025-11-16T16:35:37.378349-08:00,read,key_534,0.54,true,false,4395
2025-11-16T16:35:37.389383-08:00,read,key_437,0.54,true,false,3758
2025-11-16T16:35:37.400415-08:00,read,key_533,0.49,true,false,2775
2025-11-16T16:35:37.411457-08:00,read,key_684,0.50,true,false,2682
2025-11-16T16:35:37.42269-08:00,read,key_432,0.84,false,false,0
2025-11-16T16:35:37.433751-08:00,read,key_681,0.64,true,false,2685
2025-11-16T16:35:37.4449-08:00,read,key_97,0.65,true,false,4353
2025-11-16T16:35:37.455218-08:00,read,key_171,0.77,true,false,3834
2025-11-16T16:35:37.466317-08:00,read,key_365,0.79,true,false,568
2025-11-16T16:35:37.477404-08:00,read,key_685,0.89,true,false,2635
2025-11-16T16:35:37.488457-08:00,read,key_437,0.45,true,false,3758
2025-11-16T16:35:37.499514-08:00,read,key_436,0.22,true,false,4024
2025-11-16T16:35:37.510588-08:00,read,key_686,0.35,true,false,2898
2025-11-16T16:35:37.521633-08:00,read,key_175,0.29,true,false,4459
2025-11-16T16:35:37.532751-08:00,read,key_534,0.62,true,false,4395
2025-11-16T16:35:37.543824-08:00,read,key_96,0.76,true,false,4184
2025-11-16T16:35:37.554262-08:00,read,key_437,0.89,true,false,3758
2025-11-16T16:35:37.565298-08:00,read,key_227,0.64,true,false,3449
2025-11-16T16:35:37.576444-08:00,read,key_94,0.64,true,false,3865
2025-11-16T16:35:37.587595-08:00,read,key_360,0.82,true,false,3923
2025-11-16T16:35:37.598812-08:00,read,key_176,0.67,true,false,4412
2025-11-16T16:35:37.609957-08:00,read,key_222,0.62,true,false,4219
2025-11-16T16:35:37.621207-08:00,read,key_365,0.87,true,false,568
2025-11-16T16:35:37.632224-08:00,read,key_364,0.67,true,false,3434
2025-11-16T16:35:37.643341-08:00,read,key_686,0.70,true,false,2898
2025-11-16T16:35:37.654523-08:00,read,key_607,0.86,true,false,3574
2025-11-16T16:35:37.665682-08:00,read,key_96,0.69,true,false,4184
2025-11-16T16:35:37.676825-08:00,read,key_602,0.68,true,false,4310
2025-11-16T16:35:37.688012-08:00,read,key_227,0.76,true,false,3449
2025-11-16T16:35:37.699141-08:00,read,key_223,0.62,true,false,4520
2025-11-16T16:35:37.710305-08:00,read,key_767,0.66,true,false,2554
2025-11-16T16:35:37.720441-08:00,read,key_229,0.84,true,false,4435
2025-11-16T16:35:37.731549-08:00,read,key_171,0.70,true,false,3834
2025-11-16T16:35:37.742745-08:00,read,key_368,0.61,true,false,2080
2025-11-16T16:35:37.753816-08:00,read,key_677,0.69,true,false,3832
2025-11-16T16:35:37.765088-08:00,read,key_877,0.62,true,false,2218
2025-11-16T16:35:37.776193-08:00,read,key_762,0.67,true,false,4083
2025-11-16T16:35:37.787344-08:00,read,key_228,0.70,true,false,3791
2025-11-16T16:35:37.798409-08:00,read,key_434,0.63,true,false,3698
2025-11-16T16:35:37.809541-08:00,read,key_764,0.57,true,false,3986
2025-11-16T16:35:37.820452-08:00,read,key_530,0.67,true,false,4198
2025-11-16T16:35:37.842205-08:00,read,key_273,2.75,true,false,4527
2025-11-16T16:35:37.853199-08:00,read,key_271,0.66,true,false,4449
2025-11-16T16:35:37.864308-08:00,read,key_534,0.70,true,false,4395
2025-11-16T16:35:37.875402-08:00,read,key_364,0.64,true,false,3434
2025-11-16T16:35:37.886511-08:00,read,key_439,0.82,true,false,2236
2025-11-16T16:35:37.897707-08:00,read,key_434,0.72,true,false,3698
2025-11-16T16:35:37.908805-08:00,read,key_91,0.61,true,false,3618
2025-11-16T16:35:37.919697-08:00,read,key_95,0.94,true,false,1836
2025-11-16T16:35:37.930845-08:00,read,key_277,0.68,true,false,4440
2025-11-16T16:35:37.941975-08:00,read,key_609,0.80,true,false,4426
2025-11-16T16:35:37.952997-08:00,read,key_366,0.74,true,false,2169
2025-11-16T16:35:37.964176-08:00,read,key_875,0.62,true,false,2422
2025-11-16T16:35:37.975309-08:00,read,key_535,0.62,true,false,3828
2025-11-16T16:35:37.986423-08:00,read,key_688,0.67,true,false,1996
2025-11-16T16:35:37.997539-08:00,read,key_878,0.60,true,false,2482
2025-11-16T16:35:38.008642-08:00,read,key_271,0.64,true,false,4449
2025-11-16T16:35:38.019818-08:00,read,key_270,0.74,true,false,4357
2025-11-16T16:35:38.030988-08:00,read,key_439,0.65,true,false,2236
2025-11-16T16:35:38.042105-08:00,read,key_879,0.66,true,false,2049
2025-11-16T16:35:38.052879-08:00,read,key_438,0.78,true,false,3788
2025-11-16T16:35:38.063176-08:00,read,key_769,1.19,true,false,2396
2025-11-16T16:35:38.074407-08:00,read,key_682,0.64,true,false,2701
2025-11-16T16:35:38.085598-08:00,read,key_531,0.81,true,false,4532
2025-11-16T16:35:38.096754-08:00,read,key_873,0.65,true,false,2498
2025-11-16T16:35:38.107956-08:00,read,key_574,0.65,true,false,4534
2025-11-16T16:35:38.119093-08:00,read,key_680,0.89,true,false,2771
2025-11-16T16:35:38.130252-08:00,read,key_574,0.82,true,false,4534
2025-11-16T16:35:37.831594-08:00,write,key_877,302.92,true,false,4549
2025-11-16T16:35:38.14108-08:00,read,key_364,0.56,true,false,3434
2025-11-16T16:35:38.152265-08:00,read,key_967,0.54,true,false,1595
2025-11-16T16:35:38.163298-08:00,read,key_560,0.50,true,false,2321
2025-11-16T16:35:38.174353-08:00,read,key_120,0.35,false,false,0
2025-11-16T16:35:38.185366-08:00,read,key_676,0.30,true,false,2514
2025-11-16T16:35:38.196376-08:00,read,key_769,0.31,true,false,2396
2025-11-16T16:35:38.207398-08:00,read,key_871,0.35,true,false,4015
2025-11-16T16:35:38.218515-08:00,read,key_94,0.43,true,false,3865
2025-11-16T16:35:38.229643-08:00,read,key_535,0.44,true,false,3828
2025-11-16T16:35:38.240686-08:00,read,key_960,0.45,true,false,1626
2025-11-16T16:35:38.251752-08:00,read,key_434,0.47,true,false,3698
2025-11-16T16:35:38.262801-08:00,read,key_846,0.42,true,false,2941
2025-11-16T16:35:38.273877-08:00,read,key_369,0.38,true,false,3941
2025-11-16T16:35:38.284946-08:00,read,key_364,0.37,true,false,3434
2025-11-16T16:35:38.29602-08:00,read,key_111,0.44,true,false,1487
2025-11-16T16:35:38.307097-08:00,read,key_178,0.41,true,false,4430
2025-11-16T16:35:38.329239-08:00,read,key_672,0.37,true,false,3472
2025-11-16T16:35:38.340279-08:00,read,key_438,0.30,true,false,3788
2025-11-16T16:35:38.351367-08:00,read,key_613,0.30,true,false,4163
2025-11-16T16:35:38.362448-08:00,read,key_960,0.39,true,false,1626
2025-11-16T16:35:38.373522-08:00,read,key_115,0.32,true,false,3467
2025-11-16T16:35:38.384584-08:00,read,key_393,0.31,false,false,0
2025-11-16T16:35:38.395677-08:00,read,key_397,0.29,false,false,0
